Timestep,KendallTau,MAP,a
7,0.7927814933354983,0.900458675004617,1.0
8,0.7960196276077991,0.8842510818887821,1.0
9,0.7953943774456559,0.8581509225479933,1.0
7,0.8054080155824141,0.9294313550884754,1.1
9,0.8074011829831994,0.8957084399430217,1.1
8,0.7997019790626002,0.8853204376304679,1.1
8,0.8011866045852675,0.9036766282612841,1.2
7,0.8112919870918556,0.9303995046688441,1.2
9,0.808346734678753,0.8892708184431024,1.2
7,0.8224227541601631,0.9465605715953603,1.3
9,0.8172013501643264,0.8588445643286567,1.3
8,0.8108857969711296,0.9169381554179359,1.3
9,0.8181512604700062,0.8922771876734981,1.4
7,0.8162806544817703,0.9220987404947968,1.4
8,0.8214846461192389,0.9299009429619557,1.4
8,0.8129060867147754,0.9069192063901493,1.5
7,0.8160666457534723,0.9034699814350572,1.5
9,0.8236081793961095,0.9083584284001204,1.5
7,0.8139164935570081,0.9049720691700797,1.6
8,0.8123474515745277,0.8989138657584759,1.6
9,0.8296253569388559,0.9201905280313558,1.6
7,0.8056907936793876,0.9065572685159006,1.7
8,0.8024691363389561,0.9019877081535806,1.7
9,0.8210454976868236,0.8901167833487234,1.7
7,0.7902428278900667,0.9007518724299727,1.8
8,0.7894149862897774,0.8966135392509271,1.8
9,0.8180570361772715,0.8842305045631589,1.8
7,0.7891873920059431,0.9111851553546693,1.9
8,0.787637923347461,0.8766720006763113,1.9
9,0.8110202273738016,0.8886967164359378,1.9
