Timestep,KendallTau,MAP,a
8,0.8312058344363028,0.5707703467061754,1.0
9,0.8101685620103074,0.6307228125409943,1.0
10,0.7707321956564287,0.5412267866813322,1.0
8,0.8270664737600286,0.6003049581996949,1.1
10,0.7701318200415065,0.5619145560322031,1.1
9,0.811019563719839,0.5734076927856832,1.1
9,0.8125620309347756,0.6888036206218022,1.2
8,0.8250677868867989,0.5031986531986532,1.2
10,0.7661367183316549,0.5521650462826934,1.2
8,0.8257227032819913,0.47363091701327,1.3
10,0.764128063892284,0.5095880154703684,1.3
9,0.8043626158900252,0.5792404565131838,1.3
10,0.7512199881714559,0.5429977429977431,1.4
8,0.8231534710159453,0.687312519130701,1.4
9,0.8106916140377848,0.647422274695002,1.4
9,0.8056745222971853,0.6915092483274302,1.5
8,0.8211551792534652,0.7539965481141953,1.5
10,0.7370163179875442,0.49515800104035396,1.5
8,0.7954628565930055,0.5074008300292885,1.6
9,0.7868803158958412,0.4900122206342302,1.6
10,0.7302068416491774,0.5095880154703684,1.6
8,0.7863278085359534,0.5250376727649454,1.7
9,0.7867512872478339,0.5506182812402908,1.7
10,0.716998578120888,0.5095880154703684,1.7
8,0.782331225010993,0.5364287673111202,1.8
9,0.7725488855163931,0.672840417158599,1.8
10,0.6928855190905759,0.4799316214088941,1.8
8,0.7683431826736317,0.5371467312643783,1.9
9,0.7777963751869714,0.5708710481437754,1.9
10,0.694484492561304,0.6219256778080308,1.9
