Timestep,KendallTau,MAP,a
7,0.8815486881021232,0.9064568625426279,1.0
8,0.8792368870701371,0.8983964361642794,1.0
9,0.8643959669754487,0.48722722994925904,1.0
7,0.882362497928136,0.9029779993806683,1.1
9,0.8618392509812431,0.47583718059560753,1.1
8,0.8779369616053168,0.8949215379814537,1.1
8,0.8767446765866235,0.8835405488914256,1.2
7,0.8821637403233212,0.9099553334395015,1.2
9,0.8578835592175853,0.47614871621728344,1.2
7,0.8820032730189534,0.90523857612655,1.3
9,0.8520651584675251,0.46626204366066765,1.3
8,0.8752240732654673,0.8917040663706218,1.3
9,0.8463899515703983,0.42440940255323095,1.4
7,0.8829988843275529,0.9134452813039177,1.4
8,0.87167269206876,0.9013720602584151,1.4
8,0.868298368322263,0.8968622594159728,1.5
7,0.8813678118183791,0.9102641233793224,1.5
9,0.8421882415332675,0.39241484145890143,1.5
7,0.8790227082008588,0.9086429573416119,1.6
8,0.8654414880738169,0.8834888079141103,1.6
9,0.8409762025753196,0.3992744461323711,1.6
7,0.8769196764373033,0.8962412160176182,1.7
8,0.8628355194135738,0.902717889059774,1.7
9,0.8379633516080691,0.40007700390996703,1.7
7,0.8774824848285163,0.916323766632487,1.8
8,0.8626365431327156,0.8890006937985778,1.8
9,0.8337168682402395,0.39771247722676073,1.8
7,0.8728832933264757,0.9001920656476546,1.9
8,0.8596322756001659,0.8936084261387647,1.9
9,0.8315033555602823,0.405828049351194,1.9
